Model,Accuracy
Baseline,0.9312584681597195
Morph-only,0.8406391966207062
Full,0.9648123057304535
No_Gender,0.9647326054036821
No_Number,0.9611062405355862
No_Tense,0.9646927552402965
No_Person,0.9651311070375389
McNemar_Full_vs_Baseline,"Statistic=657.3243494423792, p-value=5.7045724917569745e-145"
